120530 191221.281|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin\logs directory.
120530 191221.281|INFO|AWT-EventQueue-0|info|
120530 191221.281|INFO|AWT-EventQueue-0|info|Version 9.1.6 20100929 (Wednesday, September 29th 2010 03:53 UTC) Java ver 1.7.0_03 build 2136 Windows 7 6.1 (x86) 
120530 191221.282|INFO|AWT-EventQueue-0|info|Login: scoreboard243 (aka scoreboard243)
120530 191221.282|INFO|AWT-EventQueue-0|login|Working directory is C:\Users\owner\Desktop\ProgramContest\pc2-9.1.6\bin
120530 191221.282|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.173:50002 as SCOREBOARD243 @ site 0
120530 191221.282|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from SCOREBOARD243 @ site 0
120530 191221.288|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD243 @ site 0 -> SERVER0 @ site 0
120530 191221.289|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD243 @ site 0 -> SERVER0 @ site 0
120530 191221.289|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
120530 191221.289|INFO|Thread-4|run|send(Serializable)
120530 191232.930|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
120530 191233.038|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
120530 191233.038|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #3446 SERVER0 @ site 1 -> SCOREBOARD243 @ site 1
120530 191233.038|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #3446 ) recieveObject
120530 191233.038|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1
120530 191233.038|INFO|Thread-5|dumpPacket|    To: SCOREBOARD243 @ site 1
120530 191233.038|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
120530 191233.038|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@a28a5b
120530 191233.038|INFO|Thread-5|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@1760e50
120530 191233.039|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@1a5cff8
120530 191233.039|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
