Player  Hit Pct    KPG      BPG      DPG 
----------------------------------------- 
00      +0.176    4.000    4.000    5.000 
01      -0.143    2.500    1.000    4.500 
10      +0.000    0.000    1.000    1.000 
11      +0.000    1.000    0.000    3.000 
14      +0.400    3.667    2.000    2.333 
22      +0.400    4.500    2.500    1.000 
23      +0.000    1.333    2.333    2.333 
25      +0.167    1.000    4.000    1.000 
31      +0.333    5.000    2.000    2.000 
32      +0.000    3.000    2.000    0.000 
45      +0.571    3.333    2.000    3.000 
54      +0.000    0.000    3.000    1.000 
team    +0.225   19.333   16.667   17.667 
  
Player  Hit Pct    KPG      BPG      DPG 
----------------------------------------- 
04      +0.000    0.000    2.000    1.000 
13      +0.000    0.000    0.000    0.000 
14      +1.000    4.000    4.000    2.000 
15      -0.286    0.000    0.000    1.000 
22      +0.250    2.000    2.000    0.000 
40      +0.000    0.000    0.000    2.000 
team    +0.200    6.000    8.000    6.000 
  
Player  Hit Pct    KPG      BPG      DPG 
----------------------------------------- 
04      -1.000    0.000    2.000    1.000 
13      +0.000    0.000    1.000    0.000 
14      +0.600    4.000    4.000    2.000 
15      -0.375    0.000    0.000    1.000 
22      +0.000    2.000    2.000    0.000 
40      -1.000    0.000    0.000    2.000 
team    -0.100    6.000    9.000    6.000 
