Network #1
722 533 5
722 1001 28
723 320 8
723 533 5
723 1000 9
723 1001 28
857 320 8
3768 320 16
3768 1000 17
3768 1001 22
51227 1000 0
51227 1001 37

Network #2

Network #3

Network #4

Network #5
1 20 5

Network #6
1 20 5
2 20 5
3 21 5
4 21 5

Network #7
1 20 4
2 20 0

Network #8
1 20 1

Network #9
1 20 4
2 20 1

Network #10
1 20 2

Network #11
1 102 94
1 104 20
1 105 1000
2 104 20
2 105 1000
3 104 20
3 105 1000
4 104 20
4 105 1000
4 106 1
5 104 20
5 105 1000
5 106 1
6 104 20
6 105 1000
6 106 1
7 102 98
7 104 11
7 105 991
8 101 8
8 104 11
8 105 991
8 106 4
9 104 11
9 105 991
10 104 11
10 105 991
10 106 4
11 104 13
11 105 993
11 106 6
12 104 13
12 105 993
12 106 6
13 104 13
13 105 993
13 106 6
14 100 5
14 101 10
14 102 100
14 104 12
14 105 992
14 106 5
15 104 12
15 105 992
15 106 5
16 104 12
16 105 992
16 106 5
17 100 1
17 102 96
17 104 10
17 105 990
18 104 10
18 105 990
18 106 3
19 104 10
19 105 990
19 106 3
20 104 10
20 105 990
20 106 3
21 104 10
21 105 990
21 106 3
22 102 96
22 104 17
22 105 997
22 106 3
23 104 17
23 105 997
24 104 17
24 105 997
25 102 95
25 104 15
25 105 995
25 106 6
26 101 5
26 103 3
26 104 15
26 105 995
26 106 6
27 104 15
27 105 995
28 104 15
28 105 995
29 104 15
29 105 995
29 106 6
30 100 2
30 102 97
30 104 17
30 105 997
31 104 17
31 105 997
31 106 4
32 104 13
32 105 993
32 106 8
33 104 13
33 105 993
34 104 13
34 105 993
35 102 96
35 103 7
35 104 12

