 Cards  Overhang 
    1     0.500 
    2     0.750 
    3     0.917 
    4     1.042 
    5     1.142 
    6     1.225 
    7     1.296 
    8     1.359 
   16     1.690 
   32     2.029 
   64     2.372 
  128     2.717 
  256     3.062 
  512     3.408 
99999     6.045 
99998     6.045 
99988     6.045 
99888     6.045 
98888     6.039 
88888     5.986 
88887     5.986 
88877     5.986 
88777     5.986 
87777     5.980 
77777     5.919 
77776     5.919 
77766     5.919 
77666     5.919 
76666     5.912 
66666     5.842 
66665     5.842 
66655     5.842 
66555     5.842 
65555     5.834 
55555     5.751 
