         NAME                     SOUNDEX CODE
         LUKASCHOWSKY             L222
         MEYER                    M600
         MAUER                    M600
         MAIER                    M600
         WU                       W000
         EINSTEIN                 E523
         ZITA                     Z300
         JAEGER                   J260
         YAEGER                   Y260
         QUIEU                    Q000
         BUERCK                   B620
         BIRCH                    B620
         BERK                     B620
         SCHAEFER                 S160
         SHAFER                   S160
         SHAFFER                  S160
         SCHAAK                   S200
         ARMS                     A652
         A                        A000
         AAAAAAAAAAAAAAAAAAAA     A000
         ABCDEFGHIJKLMNOPQRST     A123
                   END OF OUTPUT
